Order ID,Customer ID,Product ID,Order Date,Ship Date,Ship Mode,Price,Quantity,Discount,Sales,Profit Ratio,Profit,Year,Quarter,Month
CA-2011-103800,C0001,P0001,2013-01-03,2013-01-07,Standard Class,10.0,2,0.2,16,0.34,6,2013,1,1
CA-2011-112326,C0002,P0002,2013-01-04,2013-01-08,Standard Class,5.0,3,0.2,12,0.36,4,2013,1,1
CA-2011-112326,C0002,P0003,2013-01-04,2013-01-08,Standard Class,113.75,3,0.2,273,-0.24,-65,2013,1,1
CA-2011-112326,C0002,P0004,2013-01-04,2013-01-08,Standard Class,10.0,2,0.8,4,-1.55,-5,2013,1,1
CA-2011-141817,C0003,P0005,2013-01-05,2013-01-12,Standard Class,8.33,3,0.2,20,0.25,5,2013,1,1
CA-2011-130813,C0004,P0006,2013-01-06,2013-01-08,Second Class,6.33,3,0.0,19,0.48,9,2013,1,1
CA-2011-106054,C0005,P0007,2013-01-06,2013-01-07,First Class,4.33,3,0.0,13,0.41,5,2013,1,1
CA-2011-167199,C0006,P0008,2013-01-06,2013-01-10,Standard Class,286.0,9,0.0,2574,0.29,746,2013,1,1
CA-2011-167199,C0006,P0009,2013-01-06,2013-01-10,Standard Class,305.0,2,0.0,610,0.45,274,2013,1,1
CA-2011-167199,C0006,P0010,2013-01-06,2013-01-10,Standard Class,2.5,2,0.0,5,0.27,1,2013,1,1
CA-2011-167199,C0006,P0011,2013-01-06,2013-01-10,Standard Class,196.0,2,0.0,392,0.29,114,2013,1,1
CA-2011-167199,C0006,P0012,2013-01-06,2013-01-10,Standard Class,189.0,4,0.0,756,0.27,204,2013,1,1
CA-2011-167199,C0006,P0013,2013-01-06,2013-01-10,Standard Class,7.75,4,0.0,31,0.01,0,2013,1,1
CA-2011-167199,C0006,P0014,2013-01-06,2013-01-10,Standard Class,7.0,1,0.0,7,0.46,3,2013,1,1
CA-2011-105417,C0007,P0015,2013-01-07,2013-01-12,Standard Class,64.17,3,0.6,77,-0.7,-54,2013,1,1
CA-2011-105417,C0007,P0016,2013-01-07,2013-01-12,Standard Class,7.14,7,0.8,10,-1.75,-18,2013,1,1
CA-2011-135405,C0008,P0017,2013-01-09,2013-01-13,Standard Class,5.62,2,0.2,9,0.13,1,2013,1,1
CA-2011-135405,C0008,P0018,2013-01-09,2013-01-13,Standard Class,12.92,3,0.2,31,0.31,10,2013,1,1
CA-2011-149020,C0009,P0019,2013-01-10,2013-01-15,Standard Class,3.0,1,0.0,3,0.47,1,2013,1,1
CA-2011-149020,C0009,P0020,2013-01-10,2013-01-15,Standard Class,52.0,1,0.0,52,0.41,21,2013,1,1
CA-2011-130092,C0010,P0021,2013-01-11,2013-01-14,First Class,5.0,2,0.0,10,0.31,3,2013,1,1
CA-2011-162775,C0011,P0022,2013-01-13,2013-01-15,Second Class,5.5,2,0.0,11,0.47,5,2013,1,1
CA-2011-162775,C0011,P0023,2013-01-13,2013-01-15,Second Class,17.0,3,0.0,51,0.5,25,2013,1,1
CA-2011-162775,C0011,P0024,2013-01-13,2013-01-15,Second Class,107.83,6,0.0,647,0.4,259,2013,1,1
CA-2011-162775,C0011,P0025,2013-01-13,2013-01-15,Second Class,2.0,3,0.0,6,0.48,3,2013,1,1
CA-2011-162775,C0011,P0026,2013-01-13,2013-01-15,Second Class,95.5,6,0.0,573,0.06,34,2013,1,1
CA-2011-109232,C0012,P0027,2013-01-13,2013-01-16,Second Class,91.0,6,0.0,546,0.16,87,2013,1,1
CA-2011-157147,C0013,P0028,2013-01-13,2013-01-18,Standard Class,265.2,5,0.0,1326,0.18,239,2013,1,1
CA-2011-157147,C0013,P0029,2013-01-13,2013-01-18,Standard Class,130.98,3,0.15,334,0.01,4,2013,1,1
CA-2011-157147,C0013,P0030,2013-01-13,2013-01-18,Standard Class,4.0,5,0.0,20,0.33,7,2013,1,1
CA-2011-118192,C0014,P0031,2013-01-13,2013-01-18,Standard Class,6.61,7,0.2,37,0.35,13,2013,1,1
CA-2011-118192,C0014,P0032,2013-01-13,2013-01-18,Standard Class,5.0,2,0.7,3,-0.73,-3,2013,1,1
CA-2011-149524,C0015,P0033,2013-01-14,2013-01-15,First Class,31.0,4,0.5,62,-0.86,-53,2013,1,1
CA-2011-103366,C0016,P0034,2013-01-15,2013-01-17,First Class,30.0,5,0.0,150,0.44,66,2013,1,1
CA-2011-115791,C0017,P0035,2013-01-16,2013-01-18,Second Class,26.46,6,0.2,127,0.23,29,2013,1,1
CA-2011-115791,C0017,P0036,2013-01-16,2013-01-18,Second Class,68.89,3,0.4,124,-0.25,-31,2013,1,1
CA-2011-115791,C0017,P0037,2013-01-16,2013-01-18,Second Class,31.67,2,0.7,19,-0.73,-14,2013,1,1
CA-2011-115791,C0017,P0038,2013-01-16,2013-01-18,Second Class,12.5,3,0.2,30,0.34,10,2013,1,1
CA-2011-123477,C0018,P0039,2013-01-18,2013-01-21,Second Class,20.31,4,0.2,65,0.1,6,2013,1,1
CA-2011-146591,C0019,P0040,2013-01-19,2013-01-20,First Class,10.67,10,0.7,32,-0.73,-24,2013,1,1
CA-2011-146591,C0019,P0041,2013-01-19,2013-01-20,First Class,17.5,4,0.2,56,0.35,20,2013,1,1
CA-2011-146591,C0019,P0042,2013-01-19,2013-01-20,First Class,27.25,5,0.2,109,0.34,37,2013,1,1
CA-2011-146591,C0019,P0043,2013-01-19,2013-01-20,First Class,120.67,5,0.7,181,-1.77,-321,2013,1,1
US-2011-147627,C0020,P0044,2013-01-20,2013-01-26,Standard Class,100.0,7,0.0,700,0.26,182,2013,1,1
US-2011-147627,C0020,P0045,2013-01-20,2013-01-26,Standard Class,3.29,7,0.0,23,0.29,7,2013,1,1
US-2011-147627,C0020,P0046,2013-01-20,2013-01-26,Standard Class,9.75,4,0.0,39,0.3,12,2013,1,1
US-2011-147627,C0020,P0047,2013-01-20,2013-01-26,Standard Class,2.33,3,0.0,7,0.27,2,2013,1,1
US-2011-147627,C0020,P0022,2013-01-20,2013-01-26,Standard Class,7.67,3,0.0,23,0.47,11,2013,1,1
US-2011-147627,C0020,P0048,2013-01-20,2013-01-26,Standard Class,356.0,3,0.0,1068,0.21,224,2013,1,1
CA-2011-148614,C0021,P0049,2013-01-20,2013-01-25,Standard Class,9.5,2,0.0,19,0.48,9,2013,1,1
CA-2011-148614,C0021,P0046,2013-01-20,2013-01-25,Standard Class,9.5,2,0.0,19,0.3,6,2013,1,1
CA-2011-167927,C0022,P0050,2013-01-20,2013-01-26,Standard Class,14.0,1,0.0,14,0.2857142857142857,4,2013,1,1
CA-2011-167927,C0022,P0051,2013-01-20,2013-01-26,Standard Class,91.0,3,0.0,273,0.11,30,2013,1,1
CA-2011-167927,C0022,P0052,2013-01-20,2013-01-26,Standard Class,3.8,5,0.0,19,0.47,9,2013,1,1
CA-2011-167927,C0022,P0053,2013-01-20,2013-01-26,Standard Class,68.89,4,0.1,248,0.38,94,2013,1,1
CA-2011-167927,C0022,P0054,2013-01-20,2013-01-26,Standard Class,33.5,2,0.0,67,0.24,16,2013,1,1
CA-2011-167927,C0022,P0055,2013-01-20,2013-01-26,Standard Class,14.67,3,0.0,44,0.29,13,2013,1,1
CA-2011-167927,C0022,P0056,2013-01-20,2013-01-26,Standard Class,5.0,3,0.0,15,0.33,5,2013,1,1
CA-2011-167927,C0022,P0057,2013-01-20,2013-01-26,Standard Class,6.0,5,0.0,30,0.45,13,2013,1,1
US-2011-147774,C0023,P0058,2013-01-20,2013-01-26,Standard Class,223.33,1,0.7,67,-0.77,-52,2013,1,1
CA-2011-110422,C0024,P0059,2013-01-21,2013-01-23,Second Class,10.42,3,0.2,25,0.16,4,2013,1,1
CA-2011-102645,C0025,P0060,2013-01-23,2013-01-28,Standard Class,6.67,6,0.0,40,0.48,19,2013,1,1
CA-2011-146997,C0026,P0061,2013-01-23,2013-01-27,Standard Class,2.0,3,0.0,6,0.0,0,2013,1,1
US-2011-155502,C0027,P0062,2013-01-26,2013-01-31,Standard Class,21.0,3,0.0,63,0.49,31,2013,1,1
US-2011-155502,C0027,P0063,2013-01-26,2013-01-31,Standard Class,61.25,8,0.0,490,0.0,0,2013,1,1
US-2011-155502,C0027,P0064,2013-01-26,2013-01-31,Standard Class,6.33,3,0.0,19,0.48,9,2013,1,1
US-2011-155502,C0027,P0065,2013-01-26,2013-01-31,Standard Class,8.5,2,0.0,17,0.5,8,2013,1,1
US-2011-155502,C0027,P0066,2013-01-26,2013-01-31,Standard Class,11.92,13,0.0,155,0.0,0,2013,1,1
US-2011-155502,C0027,P0067,2013-01-26,2013-01-31,Standard Class,4.0,3,0.0,12,0.36,4,2013,1,1
US-2011-155502,C0027,P0068,2013-01-26,2013-01-31,Standard Class,94.0,2,0.0,188,0.28,53,2013,1,1
CA-2011-167997,C0028,P0069,2013-01-26,2013-01-29,First Class,5.5,2,0.0,11,0.47,5,2013,1,1
CA-2011-167997,C0028,P0070,2013-01-26,2013-01-29,First Class,71.0,2,0.0,142,0.28,40,2013,1,1
US-2011-117163,C0029,P0071,2013-01-27,2013-02-02,Standard Class,57.0,1,0.0,57,0.25,14,2013,1,1
US-2011-117163,C0029,P0072,2013-01-27,2013-02-02,Standard Class,138.75,3,0.2,333,-0.05,-17,2013,1,1
US-2011-117163,C0029,P0073,2013-01-27,2013-02-02,Standard Class,9.0,4,0.0,36,0.33,12,2013,1,1
