Product ID,Product Name,Category,Sub-Category,Manufacturer
P0001,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,Message Book
P0002,Avery 508,Office Supplies,Labels,Avery
P0003,SAFCO Boltless Steel Shelving,Office Supplies,Storage,SAFCO
P0004,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,GBC
P0005,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,Avery
P0006,Xerox 225,Office Supplies,Paper,Xerox
P0007,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,Dixon
P0008,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Global
P0009,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,Ibico
P0010,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art,Rogers
P0011,GE 30524EE4,Technology,Phones,GE
P0012,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,Other
P0013,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,Alliance
P0014,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper,Southworth
P0015,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,Howard Miller
P0016,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,Acco
P0017,Newell 312,Office Supplies,Art,Newell
P0018,Memorex Micro Travel Drive 8 GB,Technology,Accessories,Memorex
P0019,Avery 482,Office Supplies,Labels,Avery
P0020,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,Howard Miller
P0021,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,DAX
P0022,Staple envelope,Office Supplies,Envelopes,Staple envelope
P0023,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes,Other
P0024,Plantronics S12 Corded Telephone Headset System,Technology,Accessories,Plantronics
P0025,3-ring staple pack,Office Supplies,Binders,3-ring staple pack
P0026,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,Fellowes
P0027,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,Global
P0028,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,Tennsco
P0029,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,O'Sullivan
P0030,4009 Highlighters by Sanford,Office Supplies,Art,Other
P0031,Xerox 1923,Office Supplies,Paper,Xerox
P0032,Avery Metallic Poly Binders,Office Supplies,Binders,Avery
P0033,Sauder Cornerstone Collection Library,Furniture,Bookcases,Sauder
P0034,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech
P0035,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,DAX
P0036,AT&T 841000 Phone,Technology,Phones,AT&T
P0037,GBC Linen Binding Covers,Office Supplies,Binders,GBC
P0038,Round Specialty Laser Printer Labels,Office Supplies,Labels,Other
P0039,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances,Fellowes
P0040,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,GBC
P0041,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper,TOPS
P0042,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,Tyvek
P0043,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,O'Sullivan
P0044,Apple iPhone 5C,Technology,Phones,Apple
P0045,Newell 351,Office Supplies,Art,Newell
P0046,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,Eldon
P0047,Newell 327,Office Supplies,Art,Newell
P0048,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,Hon
P0049,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Wirebound
P0050,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Eldon
P0051,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,Eldon
P0052,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,Acco
P0053,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Holmes
P0054,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,Fellowes
P0055,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art,Panasonic
P0056,Ultra Door Push Plate,Furniture,Furnishings,Ultra
P0057,Storex Dura Pro Binders,Office Supplies,Binders,Storex
P0058,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,GBC
P0059,Ultra Door Pull Handle,Furniture,Furnishings,Ultra
P0060,Xerox 195,Office Supplies,Paper,Xerox
P0061,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,Alliance
P0062,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,GE
P0063,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,SAFCO
